id,current_user_id,app_id,app_version,device_type,player_id,store,platform,created_at,updated_at,ud_id
4730937,,3,4.2.0.11,SM-G920F,71fd7a54-7480-415f-9614-3b48aa65e177,GooglePlayStore,ANDROID,2023-12-09 02:03:45,2023-12-09 02:03:45,2a0314643c97c50b
4730936,,3,4.2.0.4,HTC One E9PLUS dual sim,7b137b94-c539-4a57-a631-56d6a769dac0,Bazzar,ANDROID,2023-12-08 10:42:36,2023-12-08 10:42:36,c2a9835b34e34a14
4730935,,3,4.0.3,M2101K7BG,52359922-1243-4acc-8422-6131805727a4,GooglePlayStore,ANDROID,2023-12-07 23:00:52,2023-12-07 23:00:52,81bc7dae5b7f70f8
4730934,,3,4.1.3,SM-T815,fdbe2f14-6fce-4a7c-a6d4-4656a31bc8b9,Bazzar,ANDROID,2023-12-07 07:38:55,2023-12-07 07:38:55,18e80c6c178f7e6
4730933,,3,3.2.4,iPhone 6,87b372bd-a946-4f00-ac87-170bb3c20d7c,App Store,IOS,2023-12-06 18:29:16,2023-12-06 18:29:16,
4730932,,3,4.2.0.4,SM-A920F,87b6b67d-92e8-4c2c-ba09-7d57b56863c6,WebSite,ANDROID,2023-12-06 18:02:18,2023-12-06 18:02:18,94e516d923f8be5f
4730931,,3,4.1.3,SM-N920C,b4db22d5-3696-43bc-8e54-d57dae7ea631,Bazzar,ANDROID,2023-12-06 11:55:47,2023-12-06 11:55:47,e2c76584be13de98
4730930,,3,4.2.0.4,SM-A225F,be93013c-77e4-42f3-a47b-01256f4f57ff,WebSite,ANDROID,2023-12-06 00:02:57,2023-12-06 00:02:57,535b7125727a81f8
4730929,,3,4.2.0.4,SM-G960F,7200e735-7af0-4ce5-8dd7-410b99a41d50,WebSite,ANDROID,2023-12-05 16:39:32,2023-12-05 16:39:32,03cb037b2b0b6007
4730928,,3,4.0.3,SM-N920C,370eb79c-9c07-431e-be7a-061f50151ae7,GooglePlayStore,ANDROID,2023-12-02 14:13:10,2023-12-02 14:13:10,97891f2b42c74d2d
4730927,,3,4.2.0.7,SM-G950F,e951f230-2dfa-496a-92cf-9fae66907238,Bazzar,ANDROID,2023-11-20 19:13:07,2023-11-20 19:13:07,4b5257e28073bc4f
4730926,,3,4.2.0.4,SM-A736B,6749552f-95b9-4b2d-8a4b-c61d86059d03,Bazzar,ANDROID,2023-11-20 01:17:19,2023-11-20 01:17:19,594212efa538c6c6
4730925,,3,4.0.3,SM-G935F,a9408a50-56d4-4668-922e-925548a217c1,GooglePlayStore,ANDROID,2023-11-19 21:52:43,2023-11-19 21:52:43,db2bc49fb9371775
4730924,,3,4.2.0.11,Redmi Note 8 Pro,1c506acd-e6ea-4f79-b8bc-0344894eeda7,GooglePlayStore,ANDROID,2023-11-19 15:41:37,2023-11-19 15:41:37,1f60d5d89688ba45
4730923,,3,4.0.3,SM-N950F,9050d01d-cbec-411e-8813-b1295100ca2b,WebSite,ANDROID,2023-11-19 00:41:28,2023-11-19 00:41:28,8c4399109ef9e35c
4730922,,3,4.1.2,SM-G935F,5d599751-435e-4331-bf3f-62cd481db7a6,Bazzar,ANDROID,2023-11-18 14:44:42,2023-11-18 14:44:42,f484df0f08af8c9a
4730921,,3,4.0.3,OnePlus8Pro,11ec5d16-8fe5-402e-aac0-b609ae89c7d5,GooglePlayStore,ANDROID,2023-11-17 18:24:47,2023-11-17 18:24:47,e3ed17eeb41d7a78
4730920,,3,4.2.0.4,SM-A520F,1e8526e1-e0b5-4159-b14f-ebc99ac31036,Bazzar,ANDROID,2023-11-17 01:18:36,2023-11-17 01:18:36,241882c90238abfc
4730919,,3,4.1.2,SM-G935F,4e32ea9d-de35-4709-8c69-7203a9d8971e,Bazzar,ANDROID,2023-11-14 11:47:51,2023-11-14 11:47:51,d27f967a246acb9e
4730918,,3,4.0.3,JSN-L22,97260153-83c9-4eba-8494-4bad07737552,Bazzar,ANDROID,2023-11-13 14:20:02,2023-11-13 14:20:02,a4308e573990483a
4730917,,3,4.2.0.7,SM-A315F,113761df-db1b-4148-9f29-9ca200357018,Bazzar,ANDROID,2023-11-13 11:57:25,2023-11-13 11:57:25,79e7d074386341cd
4730916,,3,4.2.0.4,SM-A800I,42d48347-4c1e-43dd-9bdd-3985927686c9,Bazzar,ANDROID,2023-11-12 14:49:02,2023-11-12 14:49:02,bc8c4a41eeb9985f
4730915,,3,4.1.3,SM-G955F,7d111404-bb63-4d19-9992-95a17ee5e065,Bazzar,ANDROID,2023-11-10 18:15:34,2023-11-10 18:15:34,88da7e54a482e000
4730914,,3,4.2.0.4,BAC-L21,5cce082b-10ad-4f47-a46f-842b375f553c,Bazzar,ANDROID,2023-11-09 21:56:44,2023-11-09 21:56:44,e06138627ec75f
4730913,,3,4.2.0.4,SM-A520F,56d52912-fa8c-4de9-a54e-b8dcc3870c13,Bazzar,ANDROID,2023-11-08 07:41:05,2023-11-08 07:41:05,639c071a2c5f2519
4730912,,3,4.1.2,SM-A346E,ff7244b7-e9eb-4bda-b6bd-d76fcbd1340a,Bazzar,ANDROID,2023-11-04 17:41:52,2023-11-04 17:41:52,ddb929574d767a50
4730911,,3,3.2.4,"iPhone9,3",98d3efc4-3456-40c1-9700-bdb0514d78ea,App Store,IOS,2023-11-03 01:06:45,2023-11-03 01:06:45,
4730910,,3,4.1.3,SM-A520F,aad64fb3-d88c-48ab-8016-ff7f92c741b3,Bazzar,ANDROID,2023-10-29 16:03:52,2023-10-29 16:03:52,316067b1d12182ea
4730909,,3,4.2.0.4,SM-A505F,bf25ea16-262e-4bfe-a4a5-19d5934d3c0b,Myket,ANDROID,2023-10-28 21:43:55,2023-10-28 21:43:55,4b7a19a2f5e0ecce
4730908,,3,4.4.0.4,SM-A715F,e4efcec9-9495-4a4d-a372-249513462de9,GooglePlayStore,ANDROID,2023-10-28 14:12:32,2023-10-28 14:12:32,a5b80bae51c7e101
4730907,,3,4.0.3,M2102J20SG,825f8aaf-7371-4859-8dd0-3630a2488e62,GooglePlayStore,ANDROID,2023-10-26 18:25:25,2023-10-26 18:25:25,90534cae7a712845
4730906,,3,4.2.0.7,SM-G955F,bfe1a0ba-dcb8-4cc2-a77f-bbf1837344d8,Bazzar,ANDROID,2023-10-26 14:29:35,2023-10-26 14:29:35,68e85e8819c9c53e
4730905,,3,4.2.0.7,SM-J710F,d5e79c64-2d32-4ed6-bc9b-6aa80d208889,Bazzar,ANDROID,2023-10-24 01:38:36,2023-10-24 01:38:36,be802192a76d9ab5
4730904,,3,4.1.3,SM-G950F,3ff65cb0-0e2b-44c2-bd0e-3a0209254199,Bazzar,ANDROID,2023-10-23 23:37:15,2023-10-23 23:37:15,61d5a1a878347478
4730903,,3,4.2.0.4,SM-N950F,2a024e83-71ce-437b-b5e4-8fe45b40efe4,WebSite,ANDROID,2023-10-20 12:48:23,2023-10-20 12:48:23,67a0d76ff102513b
4730902,,3,4.2.0.4,SM-G950F,4d737567-b318-401f-8381-86ede2dbdd96,Bazzar,ANDROID,2023-10-20 11:32:29,2023-10-20 11:32:29,a33443b0717c914f
4730901,,3,4.1.2,2209116AG,3aaca148-4e5d-48ff-8afa-9eb6e5159e3c,Bazzar,ANDROID,2023-10-19 08:35:12,2023-10-19 08:35:12,62bcc8c8397811e7
4730900,,3,4.0.4,SM-A500H,4645377e-3561-405c-b406-ac0af1e7f64f,Bazzar,ANDROID,2023-10-18 13:46:32,2023-10-18 13:46:32,cefe0db74d6aca8e
4730899,,3,4.0.3,M2102K1G,23c5b14a-3c2d-4b3b-9838-eef0021a3cb5,GooglePlayStore,ANDROID,2023-10-17 15:20:05,2023-10-17 15:20:05,deeb54473cf0a4c0
4730898,,3,4.2.0.7,SM-A307FN,2ab69226-e32c-405e-816d-673c5704f26b,Bazzar,ANDROID,2023-10-16 22:36:48,2023-10-16 22:36:48,6c972c016fbb1bf0
4730897,,3,4.2.0.7,SM-G610F,b8be6863-9048-44f5-b11a-695a26304246,Bazzar,ANDROID,2023-10-16 01:21:26,2023-10-16 01:21:26,bed5d8662a4ce96c
4730896,,3,4.1.2,SM-G950F,d875b6c3-de61-4348-a7b2-d72865af0095,Bazzar,ANDROID,2023-10-14 19:09:45,2023-10-14 19:09:45,ff97704536536c7a
4730895,,3,4.1.3,SM-N9005,e791714b-ede9-4d85-94a1-c717170cf034,Myket,ANDROID,2023-10-14 10:52:15,2023-10-14 10:52:15,f076eb70cee4d157
4730894,,3,4.2.0.7,ASUS_X018D,af1f34d6-8330-4a83-8db9-43dbce01049a,Bazzar,ANDROID,2023-10-13 23:08:59,2023-10-13 23:08:59,c6107fd10a90e0f5
4730893,,3,4.1.3,SM-G955F,d8989345-edd5-4f46-afd0-b9cb74e0314d,Bazzar,ANDROID,2023-10-13 18:01:05,2023-10-13 18:01:05,2537df66f469c436
4730892,,3,4.1.3,SM-J530F,8f516d79-eec0-4a19-8def-05cc6d3231ec,Bazzar,ANDROID,2023-10-12 23:03:46,2023-10-12 23:03:46,609917e78a15fc22
4730891,,3,4.1.2,SM-A500H,91b774d6-7a9b-474c-b960-4808b0ebe105,Bazzar,ANDROID,2023-10-12 18:01:27,2023-10-12 18:01:27,51e5fc8cdcf087d4
4730890,,3,4.2.0.7,SM-G950F,abebf98d-5b71-4568-9b2d-d6210967b41b,Bazzar,ANDROID,2023-10-12 13:34:41,2023-10-12 13:34:41,1245d1653ef27188
4730889,,3,4.2.0.4,MEIZU_M5,43874156-b81b-4e9d-9877-cf77272831bd,Bazzar,ANDROID,2023-10-12 12:24:13,2023-10-12 12:24:13,4b4c9338a6b5c941
4730888,,3,4.2.0.7,SM-A715F,2977d370-4acd-4098-bf2a-fc54d81f09b3,Bazzar,ANDROID,2023-10-10 22:39:02,2023-10-10 22:39:02,a63a66e6dd9e62cf
4730887,,3,4.2.0.7,SM-A245F,40a3084e-75f0-4871-bea3-1be8435f2f15,Bazzar,ANDROID,2023-10-09 19:45:54,2023-10-09 19:45:54,2c11802c65db7526
